id,datetime,status,provider_id,avg_cost_per_page,materials_turned_in_at,provider_rating,location_type,latitude,longitude
1,2021-06-03 08:19:33,COMPLETE,1,550,2021-06-13 10:43:33,1,REMOTE,,
2,2021-06-04 03:31:33,COMPLETE,1,625,2021-06-13 15:31:33,1,LOCATION_BASED,34.0165128,-118.4939147
3,2021-06-05 02:48:21,COMPLETE,1,600,2021-06-16 05:12:21,1,LOCATION_BASED,34.0165128,-118.4939147
4,2021-06-06 01:07:33,COMPLETE,1,550,2021-06-14 01:07:33,1,REMOTE,,
5,2021-06-08 10:29:09,COMPLETE,1,625,2021-06-15 10:29:09,1,LOCATION_BASED,34.0165128,-118.4939147
6,2021-06-10 10:14:45,COMPLETE,1,600,2021-06-20 10:14:45,1,LOCATION_BASED,34.0165128,-118.4939147
7,2021-06-01 10:43:33,COMPLETE,2,425,2021-06-12 13:07:33,,REMOTE,,
8,2021-06-04 20:19:33,COMPLETE,2,500,2021-06-17 01:07:33,1,LOCATION_BASED,34.0165128,-118.4939147
9,2021-06-08 08:48:21,COMPLETE,2,475,2021-06-21 09:02:45,0,LOCATION_BASED,34.0165128,-118.4939147
10,2021-06-10 10:29:09,COMPLETE,2,525,2021-06-20 20:05:09,0,REMOTE,,
11,2021-06-11 09:45:57,COMPLETE,2,625,2021-06-25 12:09:57,1,LOCATION_BASED,34.0165128,-118.4939147
12,2021-06-13 10:29:09,COMPLETE,2,600,2021-06-23 08:05:09,1,LOCATION_BASED,34.0165128,-118.4939147
13,2021-06-23 22:43:33,COMPLETE,3,450,2021-07-02 22:43:33,1,REMOTE,,
14,2021-06-27 08:19:33,COMPLETE,4,325,2021-07-05 08:19:33,1,REMOTE,,
15,2021-06-28 09:45:57,COMPLETE,4,400,2021-07-05 09:45:57,1,REMOTE,,
16,2021-06-29 07:50:45,COMPLETE,4,425,2021-07-05 07:50:45,1,REMOTE,,
17,2021-06-30 07:21:57,COMPLETE,4,300,2021-07-05 07:21:57,1,REMOTE,,
18,2021-07-06 05:55:33,AWAITING MATERIALS,1,,,,LOCATION_BASED,34.0165128,-118.4939147
19,2021-07-05 03:31:33,AWAITING MATERIALS,1,,,,LOCATION_BASED,34.0165128,-118.4939147
20,2021-07-07 01:07:33,AWAITING MATERIALS,2,,,,REMOTE,,
21,2021-07-02 22:43:33,AWAITING MATERIALS,2,,,,LOCATION_BASED,34.0165128,-118.4939147
22,2021-07-01 20:19:33,AWAITING MATERIALS,3,,,,LOCATION_BASED,34.0165128,-118.4939147
23,2021-06-28 13:07:33,AWAITING MATERIALS,4,,,,REMOTE,,
24,2021-07-07 10:00:21,AWAITING MATERIALS,4,,,,LOCATION_BASED,34.0165128,-118.4939147
25,2021-07-04 09:31:33,AWAITING MATERIALS,4,,,,LOCATION_BASED,34.0165128,-118.4939147
26,2021-07-21 13:07:33,SCHEDULED,,,,,LOCATION_BASED,34.008454,-118.498543
27,2021-07-22 12:09:57,SCHEDULED,,,,,LOCATION_BASED,34.057388,-118.248034
28,2021-07-20 12:09:57,SCHEDULED,,,,,LOCATION_BASED,34.054018,-118.412388
29,2021-07-19 11:41:09,SCHEDULED,,,,,REMOTE,34.054018,-118.412388
30,2021-07-23 13:36:21,SCHEDULED,,,,,REMOTE,34.054018,-118.412388
31,2021-07-23 13:36:21,SCHEDULED,,,,,REMOTE,34.054018,-118.412388
32,2021-07-24 11:48:21,SCHEDULED,,,,,REMOTE,34.054018,-118.412388
